"~id","~start_node_id","~end_node_id","~relationship_type"
"1153021560164974592","0","2354","REPORTED_BY"
"6917630182710839945","0","2697","PROVIDED_EVIDENCE"
"1153020460653346817","1","1832","OCCURRED_AT"
"1153021560164974593","1","2355","REPORTED_BY"
"1155273359978659841","1","2356","REPORTED_BY"
"6917630182710839946","1","2698","PROVIDED_EVIDENCE"
"1153020460653346818","2","1833","OCCURRED_AT"
"1153021560164974594","2","2357","REPORTED_BY"
"6919881982524525194","2","2698","PROVIDED_EVIDENCE"
"1153021560164974595","3","2359","REPORTED_BY"
"6917630182710839947","3","2699","PROVIDED_EVIDENCE"
"1153021560164974596","4","2360","REPORTED_BY"
"6922133782338210442","4","2698","PROVIDED_EVIDENCE"
"1153021560164974597","5","2360","REPORTED_BY"
"6924385582151895690","5","2698","PROVIDED_EVIDENCE"
"1153020460653346822","6","1832","OCCURRED_AT"
"1153021560164974598","6","2360","REPORTED_BY"
"6926637381965580938","6","2698","PROVIDED_EVIDENCE"
"1153021560164974599","7","2360","REPORTED_BY"
"6928889181779266186","7","2698","PROVIDED_EVIDENCE"
"1153021560164974600","8","2361","REPORTED_BY"
"6917630182710839948","8","2700","PROVIDED_EVIDENCE"
"1153020460653346825","9","1832","OCCURRED_AT"
"1153021560164974601","9","2360","REPORTED_BY"
"6931140981592951434","9","2698","PROVIDED_EVIDENCE"
"1153020460653346826","10","1833","OCCURRED_AT"
"1153021560164974602","10","2360","REPORTED_BY"
"6933392781406636682","10","2698","PROVIDED_EVIDENCE"
"1153020460653346827","11","1834","OCCURRED_AT"
"1153021560164974603","11","2360","REPORTED_BY"
"6917630182710839949","11","2701","PROVIDED_EVIDENCE"
"1153020460653346828","12","1835","OCCURRED_AT"
"1153021560164974604","12","2362","REPORTED_BY"
"6917630182710839950","12","2702","PROVIDED_EVIDENCE"
"1153021560164974605","13","2360","REPORTED_BY"
"6935644581220321930","13","2698","PROVIDED_EVIDENCE"
"1153021560164974606","14","2360","REPORTED_BY"
"6937896381034007178","14","2698","PROVIDED_EVIDENCE"
"1153021560164974607","15","2360","REPORTED_BY"
"1155273359978659855","15","2363","REPORTED_BY"
"6919881982524525196","15","2700","PROVIDED_EVIDENCE"
"1153020460653346832","16","1836","OCCURRED_AT"
"1153021560164974608","16","2362","REPORTED_BY"
"6919881982524525197","16","2701","PROVIDED_EVIDENCE"
"1153021560164974609","17","2361","REPORTED_BY"
"6922133782338210444","17","2700","PROVIDED_EVIDENCE"
"1153021560164974610","18","2360","REPORTED_BY"
"6940148180847692426","18","2698","PROVIDED_EVIDENCE"
"1153021560164974611","19","2362","REPORTED_BY"
"6942399980661377674","19","2698","PROVIDED_EVIDENCE"
"1153021560164974612","20","2360","REPORTED_BY"
"1155273359978659860","20","2362","REPORTED_BY"
"6922133782338210445","20","2701","PROVIDED_EVIDENCE"
"1153021560164974613","21","2364","REPORTED_BY"
"6944651780475062922","21","2698","PROVIDED_EVIDENCE"
"1153020460653346838","22","1837","OCCURRED_AT"
"1153021560164974614","22","2362","REPORTED_BY"
"6917630182710839951","22","2703","PROVIDED_EVIDENCE"
"1153021560164974615","23","2362","REPORTED_BY"
"6946903580288748170","23","2698","PROVIDED_EVIDENCE"
"1153021560164974616","24","2360","REPORTED_BY"
"6949155380102433418","24","2698","PROVIDED_EVIDENCE"
"1153020460653346841","25","1838","OCCURRED_AT"
"6951407179916118666","25","2698","PROVIDED_EVIDENCE"
"1153020460653346842","26","1839","OCCURRED_AT"
"6924385582151895693","26","2701","PROVIDED_EVIDENCE"
"1153020460653346843","27","1840","OCCURRED_AT"
"1153021560164974619","27","2366","REPORTED_BY"
"6953658979729803914","27","2698","PROVIDED_EVIDENCE"
"1153020460653346844","28","1841","OCCURRED_AT"
"1153021560164974620","28","2367","REPORTED_BY"
"6955910779543489162","28","2698","PROVIDED_EVIDENCE"
"1153020460653346845","29","1842","OCCURRED_AT"
"1153021560164974621","29","2368","REPORTED_BY"
"6917630182710839952","29","2704","PROVIDED_EVIDENCE"
"1153021560164974622","30","2360","REPORTED_BY"
"6958162579357174410","30","2698","PROVIDED_EVIDENCE"
"1153021560164974623","31","2360","REPORTED_BY"
"6960414379170859658","31","2698","PROVIDED_EVIDENCE"
"1153021560164974624","32","2360","REPORTED_BY"
"6962666178984544906","32","2698","PROVIDED_EVIDENCE"
"1153020460653346849","33","1843","OCCURRED_AT"
"1153021560164974625","33","2360","REPORTED_BY"
"1155273359978659873","33","2362","REPORTED_BY"
"6919881982524525198","33","2702","PROVIDED_EVIDENCE"
"1153020460653346850","34","1844","OCCURRED_AT"
"1153021560164974626","34","2369","REPORTED_BY"
"6917630182710839953","34","2705","PROVIDED_EVIDENCE"
"1153020460653346851","35","1845","OCCURRED_AT"
"1153021560164974627","35","2360","REPORTED_BY"
"1155273359978659875","35","2362","REPORTED_BY"
"6917630182710839954","35","2706","PROVIDED_EVIDENCE"
"1153020460653346852","36","1846","OCCURRED_AT"
"1153021560164974628","36","2360","REPORTED_BY"
"6926637381965580941","36","2701","PROVIDED_EVIDENCE"
"1153021560164974629","37","2362","REPORTED_BY"
"6919881982524525201","37","2705","PROVIDED_EVIDENCE"
"6917630182710839955","38","2707","PROVIDED_EVIDENCE"
"1153021560164974631","39","2360","REPORTED_BY"
"1155273359978659879","39","2370","REPORTED_BY"